date,tic,close,high,low
2020-01-02,AAPL,70.817366,71.330974,70.232452
2020-01-02,AMGN,197.69569,199.09919,196.16888
2020-01-02,CRM,160.14572,161.63139,158.13973
2020-01-02,CSCO,39.387891,39.661745,39.047946
2020-01-02,IBM,97.227389,97.694656,96.66362
2020-01-02,INTC,52.903765,53.267789,52.458719
2020-01-02,MSFT,149.04251,150.01576,147.84306
2020-01-02,NKE,91.987203,92.707125,91.228172
2020-01-02,VZ,41.538108,41.801847,41.29218
2020-01-02,WMT,36.20688,36.443964,36.022695
2020-01-03,AAPL,70.99839,71.454091,70.330463
2020-01-03,AMGN,197.67982,198.69072,196.12869
2020-01-03,CRM,160.55948,161.54537,158.65654
2020-01-03,CSCO,39.362109,39.601634,39.054234
2020-01-03,IBM,97.384008,97.771926,96.840906
2020-01-03,INTC,52.984107,53.320886,52.467991
2020-01-03,MSFT,148.70603,149.6468,147.608
2020-01-03,NKE,91.861485,92.524804,91.091511
2020-01-03,VZ,41.545768,41.826152,41.261779
2020-01-03,WMT,36.158797,36.377014,35.951845
2020-01-06,AAPL,71.032353,71.652757,70.38862
2020-01-06,AMGN,198.16848,199.2808,196.26586
2020-01-06,CRM,160.75792,162.07304,158.8791
2020-01-06,CSCO,39.256409,39.559183,38.968065
2020-01-06,IBM,97.578794,98.055439,97.014662
2020-01-06,INTC,53.036839,53.441769,52.498025
2020-01-06,MSFT,148.26261,149.29521,147.05334
2020-01-06,NKE,91.73858,92.507015,91.017448
2020-01-06,VZ,41.569482,41.847736,41.249532
2020-01-06,WMT,36.129681,36.355703,35.905973
2020-01-07,AAPL,71.063915,71.654199,70.392194
2020-01-07,AMGN,198.40854,199.69375,196.75027
2020-01-07,CRM,161.32849,162.69278,159.2006
2020-01-07,CSCO,39.198036,39.505009,38.870501
2020-01-07,IBM,97.781837,98.318351,97.141079
2020-01-07,INTC,53.098811,53.539041,52.567447
2020-01-07,MSFT,148.01847,149.19761,146.77481
2020-01-07,NKE,91.781413,92.532701,90.941687
2020-01-07,VZ,41.539033,41.826368,41.235666
2020-01-07,WMT,36.09377,36.331628,35.901017
2020-01-08,AAPL,71.302225,71.825555,70.564873
2020-01-08,AMGN,198.76199,199.92614,197.08054
2020-01-08,CRM,161.75782,163.06874,159.55158
2020-01-08,CSCO,39.15678,39.439894,38.816806
2020-01-08,IBM,97.987853,98.473878,97.336704
2020-01-08,INTC,53.120895,53.531348,52.5761
2020-01-08,MSFT,147.86384,148.92837,146.68296
2020-01-08,NKE,91.76225,92.506424,90.85507
2020-01-08,VZ,41.569432,41.845273,41.27541
2020-01-08,WMT,36.055047,36.295538,35.847644
2020-01-09,AAPL,71.40958,71.891866,70.73918
2020-01-09,AMGN,199.07218,200.32761,197.43751
2020-01-09,CRM,161.99977,163.41996,159.77947
2020-01-09,CSCO,39.134897,39.445048,38.807045
