date,tic,close,high,low
2020-01-02,AAPL,70.320537,70.842178,70.111758
2020-01-02,AMGN,193.69205,192.22524,189.91941
2020-01-02,CRM,166.19637,169.57373,160.08314
2020-01-02,CSCO,40.771588,41.603,40.273445
2020-01-02,IBM,97.273743,98.660362,95.777073
2020-01-02,INTC,52.181466,52.126614,51.3694
2020-01-02,MSFT,149.77422,149.43235,148.47002
2020-01-02,NKE,90.239055,88.863213,89.716248
2020-01-02,VZ,41.146545,40.753856,40.383422
2020-01-02,WMT,35.420328,35.372329,35.352518
2020-01-03,AAPL,69.490236,70.935235,68.637916
2020-01-03,AMGN,181.80813,189.64634,182.49437
2020-01-03,CRM,170.43926,173.97215,166.19486
2020-01-03,CSCO,41.213107,41.197182,41.176238
2020-01-03,IBM,93.801512,96.105722,93.297589
2020-01-03,INTC,50.907706,50.865829,50.520892
2020-01-03,MSFT,147.62277,147.38712,143.52935
2020-01-03,NKE,91.20383,91.834447,91.194246
2020-01-03,VZ,40.00093,40.481708,39.105045
2020-01-03,WMT,35.335192,35.625271,35.219294
2020-01-06,AAPL,68.78211,67.535972,68.070081
2020-01-06,AMGN,179.80643,184.75144,177.52961
2020-01-06,CRM,166.54863,166.88204,167.28414
2020-01-06,CSCO,42.937315,43.039143,42.866585
2020-01-06,IBM,94.220216,94.167797,94.08344
2020-01-06,INTC,51.981499,52.349067,52.769103
2020-01-06,MSFT,145.07382,142.29791,141.46292
2020-01-06,NKE,91.637469,94.967673,91.716527
2020-01-06,VZ,38.983863,39.553847,39.391946
2020-01-06,WMT,34.597372,35.362167,34.481449
2020-01-07,AAPL,68.307052,67.932066,68.412957
2020-01-07,AMGN,175.16347,177.27192,173.11662
2020-01-07,CRM,157.13319,160.85887,154.7963
2020-01-07,CSCO,42.814878,43.018872,42.761682
2020-01-07,IBM,90.413934,89.866758,90.315729
2020-01-07,INTC,51.827618,52.632809,51.482456
2020-01-07,MSFT,143.55452,143.45121,143.07973
2020-01-07,NKE,87.804995,88.250342,87.036642
2020-01-07,VZ,38.591642,38.710569,39.241884
2020-01-07,WMT,33.337041,33.702721,33.036316
2020-01-08,AAPL,66.72949,65.556897,66.593034
2020-01-08,AMGN,168.39516,168.83658,168.1109
2020-01-08,CRM,166.71121,167.57903,161.16152
2020-01-08,CSCO,41.829431,41.556134,41.470035
